Policy,Year,Country,Policy_Content,single_url_2,Scope,Document_Type,Economic_Sector,Energy_Types,Source
Industrial Air Pollution Regulation 2004,2004,TURKEY,"The Industrial Air Pollution Regulation 2004 sets out principles for controlling emissions of soot, smoke, dust, gas, steam, and aerosols from industrial and energy production.",https://policy.asiapacificenergy.org/node/4539,National,Rule/Regulation,"Energy, Power, Industry, Transport, Multi-Sector, Other","Coal, Oil, Power, Gas, Renewable, Bioenergy",APEP
Fuel Security Act 2021,2021,AUSTRALIA,"The Fuel Security Act 2021 to make arrangements in relation to fuel security, and for related purposes.",https://policy.asiapacificenergy.org/node/4412,National,Act,Energy,"Coal, Oil, Gas",APEP
Energy Market Regulatory Authority (EMRA) Regulation No. 30307 of 2018 on Electricity Market Capacity Mechanism,2018,TURKEY,"The Energy Market Regulatory Authority (EMRA) Regulation No. 30307 of 2018 on Electricity Market Capacity Mechanism to establish sufficient installed power capacity, including the spare capacity necessary to ensure security of supply in the electricity market, and/or to determine the rules regarding the capacity mechanism to be operated by TEİAŞ in order to maintain reliable installed power capacity for the provision of long-term system safety. The Regulation was issued on the basis of Article 20 of the Electricity Market Law No. 6446 dated 14/3/2013.",https://policy.asiapacificenergy.org/node/4363,National,Rule/Regulation,Power,Power,APEP
Draft Electricity Rules (2020),2020,TAJIKISTAN,"The Draft Electricity Rules (Rules for Using Electric Energy) (2020) is based on the requirements of the Energy, Energy Conservation and Energy Efficiency Acts, Inspections of Business Entities, the Civil Code of the Republic of Tajikistan and other legal regulations in the field of energy and establishes the order of use of electric energy.",https://policy.asiapacificenergy.org/node/4343,National,Rule/Regulation,Power,Power,APEP
Energy Efficiency Master Plan for Tajikistan (EEMP 2011),2011,TAJIKISTAN,The Energy Efficiency Master Plan for Tajikistan is a report by the United Nations Development Programme (UNDP). It is a part of comprehensive strategic framework for sustainable development of Tajik energy sector based on utilisation of renewable energy sources (RES) and improvement of energy efficiency (EE) elaborated in the following documents:  Intermediate Strategy for RES based Integrated Rural Development;  Energy Efficiency Master Plan;  National Programme for RES Based Integrated Rural Development - National Scaling-Up.,https://policy.asiapacificenergy.org/node/4341,National,"Plan/Strategy, Government Report, Other","Energy, Power","Power, Renewable, Bioenergy, Geothermal, Hydropower, Solar, Other",APEP
Electricity (Appeals to Minister) Regulations 2019,2019,SINGAPORE,The Electricity (Appeals to Minister) Regulations 2019 determines the procedure for filing an appeal to the Minister in relation to the provisions of the Electricity Act.,https://policy.asiapacificenergy.org/node/4331,National,Rule/Regulation,Power,Power,APEP
Customs Tariff Amendment Act 2020 (Act No. 21 of 2020),2020,SAMOA,"The Customs Tariff Amendment Act 2020 to amend the Customs Tariff Act 1975. In particular, it sets out import duty, duty excise and the rates of VAGST for energy saving devices, such as Plant, equipment and machinery, and electrical vehicles.",https://policy.asiapacificenergy.org/node/4324,National,Act,"Energy, Power, Transport","All, Power, Solar, Wind, Other",APEP
Energy Management Act 2020 (Act No. 17 of 2020),2020,SAMOA,"The Energy Management Act 2020 (Act No. 17 of 2020) to provide for a coherent institutional, regulatory and policy framework for the energy sector, including the repeal of the Energy Efficiency Act 2017, Oil Fuel Supply Act 1974, Petroleum Act 1984 and other related purposes.",https://policy.asiapacificenergy.org/node/4323,National,Act,"Energy, Power","All, Power, Other",APEP
Administrative Order No. AO2020-05-0001 - Providing for a COVID-19 Response Protocol in the Energy Sector,2020,PHILIPPINES,"The Administrative Order No. AO2020-05-0001 - Providing for a COVID-19 Response Protocol in the Energy Sector covers the following: a.	Prevention; b.	Detection; c.	Isolation; d. Treatment; e. Reintegration; and f. Adopting to the ""New Normal"".",https://policy.asiapacificenergy.org/node/4300,National,Other,Energy,All,APEP
National Climate Compatible Development Management Policy,2014,PAPUA NEW GUINEA,"The National Climate Compatible Development Management Policy aims to build a climate resilient and carbon neutral pathway for climate compatible development in Papua New Guinea. The Policy is to address the following gaps: a) Rapid increase in extreme weather events, rising sea levels, floods, landslides and malaria, and their knock-on social economic effects in recent years; b) Increasing greenhouse gas (GHG) emissions from all economic sectors in particular the land-use, land-use change and forestry sector, despite the fact the country can reduce these emissions through more sustainable forestry and agricultural practices; c) Significant challenges to human development and service delivery, especially in rural areas, where our rich cultural, biological and environmental resources are under threat as never before; and d) Lack of effective dissemination and utilisation of “clean” technology and “adaptive” standards; and poor coordination of climate-related policies, which hamper sustainable development.",https://policy.asiapacificenergy.org/node/4295,National,Overarching Policy,"Energy, Power, Industry, Transport, Building, Multi-Sector, Other","Power, Renewable, Bioenergy, Geothermal, Hydropower, Solar, Wind, Other",APEP
Act No. 9-54 of 2016 establishing Palau Energy Administration Regulatory Authority (Palau Energy Act),2016,PALAU,"The Act No. 9-54 of 2016 establishing Palau Energy Administration Regulatory Authority (Palau Energy Act) aims to amend Title 37 of the Palau National Code to establish an Energy Administration and provide regulatory framework for the energy sector, and for the related purposes.",https://policy.asiapacificenergy.org/node/4290,National,Act,"Energy, Power","All, Power, Renewable, Other",APEP
Regulations for the Development of Renewable Energy Facilities by Independent Power Producers,2019,PALAU,The Regulations for the Development of Renewable Energy Facilities by Independent Power Producers are promulgated to stipulate: 1.1.	How the Palau Energy Administration (PEA) will review applications by the Palau Public Utilities Corporation (PPUC) to enter major business negotiations with Independent Power Producers (IPPs) for the development of renewable energy facilities. 1.2.	How PEA will evaluate applications by PPUC for unsolicited proposals for the development of renewable energy facilities connected to PPUC's network by IPPs. 1.3.	Licensing requirements applying to IPPs. 1.4.	The processes for soliciting renewable energy from IPPs through a formal tender procedure. 1.5.	How PEA will review a Power Purchase Agreement (PPA) to be signed between PPUC and an IPP.,https://policy.asiapacificenergy.org/node/4289,National,Rule/Regulation,"Energy, Power","Power, Renewable",APEP
