Policy,Year,Keyword,Policy_Content,URL,Type,Source
Instruction Memorandum on the use of pore space on U.S. public lands, 2022,"Pore Space Ownership,United States","This Instruction Memorandum (IM) conveys policy and direction for authorizing rights-of-way (ROWs) to use public lands for site characterization, transportation, injection, capture, and geologic sequestration of carbon dioxide (CO2)at appropriately classified injection well locations in connection with CO2 sequestration projects.  This includes authorizing the use of pore space managed by the Bureau of Land Management (BLM) when surface facilities, including injection wells, are on private or state-owned lands or lands managed by another Federal agency. When authorizing any carbon sequestration projects on public lands, the BLM should issue ROWs under Title V of the Federal Land Policy and Management Act of 1976 (FLPMA), as amended, 43 USC 1761 et seq.  These ROWs should appropriately address construction, operation, maintenance, and termination of surface facilities required to inject CO2 for permanent geologic sequestration.  The BLM should similarly issue Title V ROWs when authorizing the occupation of federal pore space during and after injection operations. This IM is part of a comprehensive strategy to combat climate change and reduce CO2 levels in the atmosphere and applies only to BLM-administered lands.",https://cdrlaw.org/resources/instruction-memorandum-on-the-use-of-pore-space-on-u-s-public-lands/,Policy Proposal,CDR_CCUS
H.R. 2750 – Blue Carbon for Our Planet Act, 2021,United States,"This bill would establish an NOAA-led Interagency Working Group on Coastal Blue Carbon to develop a national map of coastal blue carbon ecosystems. The working group would conduct research to establish national restoration goals and priorities for coastal blue carbon ecosystems; assess the biophysical, social, and economic barriers to restoration of coastal blue carbon ecosystems; study the effects of environmental and human stressors on sequestration rates; and preserve continuity of coastal blue carbon data. The bill directs the working group to collaborate with the National Academy of Sciences to assess long-term effects of geologic carbon stores in deep-sea environments, including their effects on marine species and ecosystems.",https://cdrlaw.org/resources/h-r-2750-blue-carbon-for-our-planet-act/,Proposed Legislation,CDR_CCUS
S. 2263 – Sustainable Skies Act, 2021,United States,"This bill would allow a business tax credit though 2031 for each gallon of qualifying sustainable aviation fuel used by a taxpayer. The bill defines sustainable aviation fuel as a liquid fuel that consists of synthesized hydrocarbons; meets certain recognized international standards; is derived from biomass, waste streams, renewable energy sources, or gaseous carbon oxides; is not derived from palm fatty acid distillates; and achieves at least 50% life cycle GHG emissions reduction as compared to petroleum-based jet fuel.",https://cdrlaw.org/resources/s-2263-sustainable-skies-act/,Proposed Legislation,CDR_CCUS
NRG Energy Pledge, 2019,,NRG Energy has pledge to have net-zero emissions by 2050 and has stated that it will use carbon capture and storage (CCS) to achieve this goal.,https://cdrlaw.org/resources/nrg-energy-pledge/,Declaration,CDR_CCUS
Duke Energy Pledge, 2019,,Duke Energy announced an updated climate strategy with a new goal of net-zero carbon emissions from electric generation by 2050 that includes advocating for advances in technology around carbon capture.,https://cdrlaw.org/resources/duke-energy-pledge/,Declaration,CDR_CCUS
Thyssenkrupp Pledge, 2019,,Germany’s largest steelmaker announced it would be climate neutral by 2050 and will pursue several measures that includes capturing emissions from steel mills and converting them into useful chemicals.,https://cdrlaw.org/resources/thyssenkrupp-pledge/,Declaration,CDR_CCUS
S. 2263 – CO2 Regulatory Certainty Act, 2019,"Enhanced Oil Recovery,United States",,https://cdrlaw.org/resources/s-2263-co2-regulatory-certainty-act/,Proposed Legislation,CDR_CCUS
Montana Tax Incentives for CCS, 2018,,"Montana Code Ann. § §15-24-3111 provides that carbon sequestration equipment, clean coal R&D equipment, and coal gasification facilities for which carbon dioxide is sequestered may qualify for an abatement of property tax liability.",https://cdrlaw.org/resources/montana-tax-incentives-for-ccs/,Enacted Legislation,CDR_CCUS
Ky. Rev. Stat. Ann. § 154.31-020, 2018,United States,,https://cdrlaw.org/resources/ky-rev-stat-ann-%c2%a7-154-31-020/,Enacted Legislation,CDR_CCUS
Carbon Capture Coalition Letter Re: Section 45Q Carbon Sequestration Credit, 2018,United States,"This is the Carbon Capture Coalition’s model guidance on the 45Q tax credit implementation, submitted to Department of the Treasury.",https://cdrlaw.org/resources/carbon-capture-coalition-letter-re-section-45q-carbon-sequestration-credit/,Policy Proposal,CDR_CCUS
S.843 – Carbon Capture Improvement Act of 2017, 2017,,"This bill amends the Internal Revenue Code to authorize the issuance of tax-exempt facility bonds for the financing of qualified carbon dioxide capture facilities.A “qualified carbon dioxide capture facility” is any equipment installed in an industrial carbon dioxide facility that satisfies specified capture and storage requirements and: (1) is used for the capture, treatment and purification, compression, transportation, or on-site storage of carbon dioxide produced by the industrial carbon dioxide facility; or (2) is integral or functionally related and subordinate to a gasification process that converts a product from coal, petroleum residue, biomass, or other materials which are recovered for their energy or feedstock value into a synthesis gas composed primarily of carbon dioxide and hydrogen for direct use or subsequent chemical or physical conversion.",https://cdrlaw.org/resources/s-843-carbon-capture-improvement-act-of-2017/,Proposed Legislation,CDR_CCUS
"Ill. Admin. Code tit. 83, Part 455", 2017,United States,,https://cdrlaw.org/resources/ill-admin-code-tit-83-part-455/,Regulation,CDR_CCUS
"La. Admin Code tit. 43, pt. XI, subpt. 4", 2017,United States,"Regulates construction, design, and operation of CO2 transmission pipelines, including detailed regulations on safety and maintenance.",https://cdrlaw.org/resources/la-admin-code-tit-43-pt-xi-subpt-4/,Regulation,CDR_CCUS
Mich. Comp. L. Ann. § 460.1047, 2017,United States,,https://cdrlaw.org/resources/mich-comp-l-ann-%c2%a7-460-1047/,Enacted Legislation,CDR_CCUS
Manchin Net-Negative CCS Amendment S. 2012 – The Energy Policy Modernization Act (EPMA), 2016,,This Amendment appears on page S2149 in the following article from the Congressional Record.,https://cdrlaw.org/resources/manchin-net-negative-ccs-amendment-s-2012-the-energy-policy-modernization-act-epma/,Proposed Legislation,CDR_CCUS
"La. Admin Code tit. 43, pt. XIX, § 403", 2016,"Enhanced Oil Recovery,United States","Regulates the injection of CO2 for enhanced oil recovery (EOR) operations, including provisions to prevent or correct CO2 leaks.",https://cdrlaw.org/resources/la-admin-code-tit-43-pt-xix-%c2%a7-403/,Regulation,CDR_CCUS
Utah Admin. Code r. R315-261-1, 2016,United States,,https://cdrlaw.org/resources/utah-admin-code-r-r315-261-1/,Regulation,CDR_CCUS
Wyo. R. & Regs. 020.0011.24 § 1 et seq., 2016,United States,,https://cdrlaw.org/resources/wyo-r-regs-020-0011-24-%c2%a7-1-et-seq/,Regulation,CDR_CCUS
CarbonSAFE Initiative, 2016,United States,"The Carbon Storage Assurance Facility Enterprise (CarbonSAFE) initiative, managed by the Department of Energy’s (DOE) National Energy Technology Laboratory, was formed to provide a better understanding of integrated storage project screening; site selection; characterization; baseline monitoring, verification and accounting procedures; and information necessary to submit appropriate permit applications for such projects. The Initiative made awards in two phases (Phase I: Integrated Carbon Capture and Storage (CCS) Pre‐Feasibility and Phase II: Storage Complex Feasibility). In Phase I, $15 million went to assess the pre-feasibility of sequestration projects. In Phase II, three projects in Illinois, North Dakota, and Mississippi received $29 million to characterize the features of high potential carbon sequestration sites.",https://cdrlaw.org/resources/carbonsafe-initiative/,Policy Proposal,CDR_CCUS
H.R. 2883 – The Master Limited Partnerships Parity Act, 2015,,,https://cdrlaw.org/resources/h-r-2883-the-master-limited-partnerships-parity-act/,Proposed Legislation,CDR_CCUS
Ohio Admin. Code r. 3745-51-04(H), 2015,United States,,https://cdrlaw.org/resources/ohio-admin-code-r-3745-51-04h/,Regulation,CDR_CCUS
Tenn. Comp. R. & Regs. 0400-12-01-.02, 2015,United States,,https://cdrlaw.org/resources/tenn-comp-r-regs-0400-12-01-02/,Regulation,CDR_CCUS
Wyo. Stat. Ann. § 30-5-502, 2015,"Enhanced Oil Recovery,United States",Provides for Oil & Gas Conservation Commission to certify geologic CO2 sequestration incidental to enhanced oil recovery (EOR) operations.,https://cdrlaw.org/resources/wyo-stat-ann-%c2%a7-30-5-502/,Enacted Legislation,CDR_CCUS
EPA Underground Injection Control Program, 2014,,"The UIC program was established by the Safe Drinking Water Act, and its Class II and VI wells requirements cover injection of CO2 for enhanced oil recovery and sequestration, respectively. In general, the UIC program lays out requirements for injection operations, post-injection site care, liability, and monitoring during and after injection.",https://cdrlaw.org/resources/epa-underground-injection-control-program/,Regulation,CDR_CCUS
