Policy,Year,Keyword,Policy_Content,URL,Type,Source
A.8597 – Carbon Dioxide Removal Leadership Act, 2022,United States,"This bill establishes a state-funded reverse auction to purchase carbon dioxide removal projects to help achieve greenhouse gas reduction goals, with auction funds derived from a fee on aviation fuel. The bill adds a new article 76 to the Environmental Conservation Law authorizing the New York State Department of Environmental Conservation (DEC) to conduct an annual reverse auction to purchase carbon dioxide removal (CDR) projects. In a “reverse” auction, the buyer puts out a request for a required good or service, sellers submit bids for the good or service, and the seller with the lowest bid wins the contract to provide the good or service.Commencing in 2025, DEC will conduct the reverse auction from April 1 to June 30 of each year. At least 60 days prior to the auction, DEC must establish a CDR target for that auction year. The CDR target must be no less than 0.1 million metric tons in the first auction year and must be increased in each subsequent year. The maximum average price per ton of CDR will be $350 in the first auction year and decrease by five percent each subsequent year. The minimum bid for 80 percent of the CDR target cannot be less than 10,000 tons of CDR, and the minimum bid for 20 percent of the removal target cannot be less than 1,000 tons of CDR. All CDR must be achieved within ten years of the contract between the bidder and DEC.Prior to the initiation of the reverse auction, DEC must annually publish a survey of CDR opportunities in the State, including a review of existing and potential CDR projects in the State. The survey must incorporate methodologies that provide for direct engagement between DEC and disadvantaged communities. Funding for the authorized five-year reverse auction period will be from State revenues accrued in preceding tax years from certain reinstated tax revenues on aviation gasoline imported by a petroleum distributor registered under Article 12-A of the Tax Law.",https://cdrlaw.org/resources/a-8597-carbon-dioxide-removal-leadership-act/, Proposed Legislation,CDR_NETS
H.R. 2803 – Agriculture Resilience Act, 2021,"Environmental Justice,United States","This bill would bolster agriculture and climate research and incentive programs at the U.S. Department of Agriculture. It would incentivize soil health practices through crop insurance discounts and a new soil health grant program for States and Tribes. The bill would also increase funding for LAMP and ACEP and amend the tax code to reward the sale of permanent conservation easements and farm property to socially disadvantaged farmers. The bill also has provisions for supporting pasture-based livestock systems, investing in on-farm energy initiatives, and reducing food waste.",https://cdrlaw.org/resources/h-r-2803-agriculture-resilience-act/, Proposed Legislation,CDR_NETS
H.R. 2750 – Blue Carbon for Our Planet Act, 2021,United States,"This bill would establish an NOAA-led Interagency Working Group on Coastal Blue Carbon to develop a national map of coastal blue carbon ecosystems. The working group would conduct research to establish national restoration goals and priorities for coastal blue carbon ecosystems; assess the biophysical, social, and economic barriers to restoration of coastal blue carbon ecosystems; study the effects of environmental and human stressors on sequestration rates; and preserve continuity of coastal blue carbon data. The bill directs the working group to collaborate with the National Academy of Sciences to assess long-term effects of geologic carbon stores in deep-sea environments, including their effects on marine species and ecosystems.",https://cdrlaw.org/resources/h-r-2750-blue-carbon-for-our-planet-act/, Proposed Legislation,CDR_NETS
H.R. 2820 – Growing Climate Solutions Act of 2021, 2021,United States,"This bill would create a Greenhouse Gas Technical Assistance Provider and Third-Party Verifier Certification Program within the U.S. Department of Agriculture (USDA). The program would help solve technical entry barriers that prevent farmer and forest landowner participation in carbon credit markets. The bill would direct USDA to provide transparency, legitimacy, and informal endorsement of third-party verifiers and technical service providers to help private landowners generate carbon credits. It would also assist landowners in implementing the protocols and monetizing the climate value of their sustainable practices by connecting them to relevant private sector actors.",https://cdrlaw.org/resources/h-r-2820-growing-climate-solutions-act-of-2021/, Proposed Legislation,CDR_NETS
H.R. 2670 – The Civilian Climate Corps for Jobs and Justice Act, 2021,United States,"This bill would amend the National and Community Service Act of 1990 to establish a Civilian Climate Corps (CCC) to help communities respond to climate change, transition to clean economies, and boost local climate jobs. The bill includes provisions on labor standards to create an equitable CCC including fair compensation, grants to cover student loans, career pathways, and priority to environmental justice (EJ) communities.",https://cdrlaw.org/resources/h-r-2670-the-civilian-climate-corps-for-jobs-and-justice-act/, Proposed Legislation,CDR_NETS
S. 1201 – US CLIMATE Act of 2021, 2021,United States,"This bill would establish a foreign assistance program to support forest management in developing countries. The program would oversee robust monitoring, reporting, and verification to conserve forests for their carbon sequestration value, reducing forest degradation and deforestation.",https://cdrlaw.org/resources/s-1201-us-climate-act-of-2021/, Proposed Legislation,CDR_NETS
H.R. 5205 – NET Zero Act of 2021, 2021,"Enhanced Oil Recovery,United States","This bill would amend the 45Q tax credit by removing the deadline for DAC to geologic storage and enforcing a 10-year deadline for DAC to EOR. The bill would reduce the minimum capture threshold requirements from 100,000 tons to 1,000, and increase the credit amount to $180 for DAC to geologic storage and $130 for DAC to EOR.",https://cdrlaw.org/resources/h-r-5205-net-zero-act-of-2021/, Proposed Legislation,CDR_NETS
H.R. 4534 – FAIR Transition and Competition Act, 2021,"Environmental Justice,United States","This bill would create the Resilient Communities Grant Program to provide states with resources to equitably assist vulnerable communities with climate resilience efforts. The program would support the development and commercialization of emissions reduction technologies, including projects such as climate-smart infrastructure, agricultural climate solutions, and natural climate solutions to build climate resilience and support carbon sequestration.",https://cdrlaw.org/resources/h-r-4534-fair-transition-and-competition-act/, Proposed Legislation,CDR_NETS
H.R. 3906 – Blue Carbon Protection Act, 2021,United States,"This bill would establish a Blue Carbon Program within NOAA to further conservation objectives, focusing on the research and evaluation of blue carbon storage as well as protection and restoration of blue carbon ecosystems. For the latter, the bill would establish a grant program and require NOAA to designate “blue carbon areas of significance” with guidelines for their protection. The bill also directs FWS, NPS, and NOAA to conduct coastal and marine activities to sequester carbon and halt carbon and methane emissions.",https://cdrlaw.org/resources/h-r-3906-blue-carbon-protection-act/, Proposed Legislation,CDR_NETS
H.R. 3892 – National Ocean and Coastal Security Improvements Act of 2021, 2021,United States,"This bill calls for $200 million of funding each year between 2021 and 2030 for ocean-based climate solutions to mitigate climate change, improve resilience for coastal communities, and conserve and restore ocean and coastal ecosystems.",https://cdrlaw.org/resources/h-r-3892-national-ocean-and-coastal-security-improvements-act-of-2021/, Proposed Legislation,CDR_NETS
