Policy,Year,Country,Policy_Content,URL,Scope,Explanation,Agency,Source
Executive Order Launches Climate Reregulation ,2021,USA,"<p>President Biden signed an Executive Order on Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis.</p>
On January 20, 2021, President Biden an executive order titled “Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis.”

Section 1 of the Executive Order provides that it is the Biden Administration's policy to ""listen to the science; to improve public health and protect our environment; to ensure access to clean air and water; to limit exposure to dangerous chemicals and pesticides; to hold polluters accountable, including those who disproportionately harm communities of color and low-income communities; to reduce greenhouse gas emissions; to bolster resilience to the impacts of climate change; to restore and expand our national treasures and monuments; and to prioritize both environmental justice and the creation of the well-paying union jobs necessary to deliver on these goals.""

The administration also issued a list of actions that relevant agency heads should consider suspending, revising, or rescinding to further the policy priorities articulated in Section 1. The list includes the outgoing administration's rollback of the clean car standards, actions to weaken energy efficiency standards, and the decision to permit logging in the Tongass National Forest, among many others that are included in the Climate Deregulation Tracker.",https://climate.law.columbia.edu/content/executive-order-launches-climate-reregulation,National,Executive Order,White House,Climate-Reregulation-Tracker
U.S. Rejoins the Paris Agreement,2021,USA,"<p>President Biden recommitted the United States to the Paris Climate Agreement.</p>
On January 20, 2021 -- as one of his first acts in office -- President Biden recommitted the United States to the Paris Climate Agreement and began the process of rejoining. The United Sates officially rejoined the Paris Agreement 30 days later, on February 19.

The Paris Agreement is the 2015 global accord that implements the objectives of the United Nations Framework Convention on Climate Change. The United States joined in 2016. President Trump announced in 2017 that he would pull the United States out of the Paris Agreement, but was unable to take formal action until three years after the Agreement took effect in the United States, and formally withdrew in November 2020. Shortly after taking office, President Biden formally began the 30-day process of rejoining the accord. Read more on our blog >>>",https://climate.law.columbia.edu/content/us-rejoins-paris-agreement,National,International Commitment,White House,Climate-Reregulation-Tracker
Interior Pauses Fossil Fuel Leasing on Federal Land,2021,USA,"<p>The Interior Department imposed a 60-day moratorium on fossil fuel leasing and permitting for federal land and water.</p>
On January 20, 2021, the Interior Department imposed a 60-day moratorium on fossil fuel leasing and permitting for federal land and water.",https://climate.law.columbia.edu/content/interior-pauses-fossil-fuel-leasing-federal-land,National,Secretarial Order,Interior,Climate-Reregulation-Tracker
President Biden Revokes Pro-Fossil Fuels Executive Order,2021,USA,"<p>President Biden revoked an executive order that had promoted the production and use of domestic fossil fuels.</p>
On January 20, 2021, President Biden signed an Executive Order on Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis. Among other things, this executive order revokes an earlier executive order issued by the previous president titled Promoting Energy Independence and Economic Growth, which had encouraged the production and use of domestic energy, in particular coal, oil, and natural gas. That executive order had also instructed agency heads to review existing regulations that could be considered unduly burdensome on the production and use of domestic energy, and led to the repeal of a number of climate policies such as the Clean Power Plan.",https://climate.law.columbia.edu/content/president-biden-revokes-pro-fossil-fuels-executive-order,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Reverses Pro-Fossil Fuel Action on National Monuments,2021,USA,"<p>President Biden revoked an executive order that had encouraged stripping protections from national monuments in order to allow for fossil fuel exploitation.</p>
On January 20, 2021, President Biden signed an Executive Order on Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis. Among other things, this executive order revokes an earlier executive order issued by the previous president titled Review of Designations Under the Antiquities Act, which had instructed the Department of Interior to consider stripping certain national monuments of protections in order to allow for fossil fuel exploitation.",https://climate.law.columbia.edu/content/president-biden-reverses-pro-fossil-fuel-action-national-monuments,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Revokes Executive Order That Promoted Offshore Drilling,2021,USA,"<p>President Biden revoked an executive order that had promoted offshore drilling, including in areas that President Obama had moved to permanently protect.</p>
On January 20, 2021, President Biden signed an Executive Order on Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis. Among other things, this executive order revokes an earlier executive order issued by the previous president on ""Implementing an America-First Offshore Energy Strategy"" that included several directives to promote offshore drilling, and reinstates protections withdrawing certain offshore areas in the Arctic Waters and the Bering Sea from oil and gas drilling.",https://climate.law.columbia.edu/content/president-biden-revokes-executive-order-promoted-offshore-drilling,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Revokes Executive Order on Fast-Tracking Pipelines,2021,USA,"<p>President Biden revoked an executive order that had sought to fast-track oil and gas pipelines.</p>
On January 20, 2021, President Biden signed an Executive Order on Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis. Among other things, this executive order revokes an earlier executive order issued by the previous president titled ""Promoting Energy Infrastructure and Economic Growth"" which was aimed at expediting the approval of energy infrastructure, including but not limited to oil and gas pipelines.",https://climate.law.columbia.edu/content/president-biden-revokes-executive-order-fast-tracking-pipelines,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Revokes Executive Order on Skipping Environmental Reviews During Pandemic,2021,USA,"<p>President Biden revoked an executive order that had instructed agencies to circumvent required environmental review during the pandemic.</p>
On January 20, 2021, President Biden signed an Executive Order on Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis. Among other things, this executive order revokes an earlier executive order issued by the previous president titled ""Accelerating the Nation’s Economic Recovery from the COVID-19 Emergency by Expediting Infrastructure Investments and Other Activities,"" which sought to use ""emergency authorities"" to waive key aspects of the National Environmental Policy Act.",https://climate.law.columbia.edu/content/president-biden-revokes-executive-order-skipping-environmental-reviews-during-pandemic,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Revokes Executive Orders That Fast-Tracked Environmental Reviews,2021,USA,"<p>President Biden revoked executive orders that had fast-tracked environmental reviews.</p>
On January 20, 2021, President Biden signed an Executive Order on Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis. Among other things, this executive order revokes two executive orders aimed at fast-tracking environmental review for major projects titled Establishing Discipline and Accountability in the Environmental Review and Permitting Process for Infrastructure Projects and Expediting Environmental Reviews and Approvals for High Priority Infrastructure Projects.",https://climate.law.columbia.edu/content/president-biden-revokes-executive-orders-fast-tracked-environmental-reviews,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Revokes Executive Order Weakening Government's Greenhouse Gas Commitments,2021,USA,"<p>President Biden revoked an executive order that had weakened the requirements to reduce greenhouse gas emissions from federal government operations.</p>
On January 20, 2021, President Biden signed an Executive Order on Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis. Among other things, this executive order revokes an earlier executive order issued by the previous president on Efficient Federal Operations. That executive order had rescinded an executive order on Planning for Federal Sustainability in the Next Decade, which set a goal of cutting the federal government’s greenhouse gas emissions by forty percent over ten years and required federal agencies to develop plans for reducing emissions and periodically report on their progress.",https://climate.law.columbia.edu/content/president-biden-revokes-executive-order-weakening-governments-greenhouse-gas-commitments,National,Executive Order,White House,Climate-Reregulation-Tracker
