Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Noise regulation Law No. 98 of 1968.,1968.0,Japan,"The Act is divided in the following Chapters: Chapter I, General Provisions; Chapter II, Regulation Regarding Specified Factories ; Chapter III, Regulation Regarding Specified Construction Work ; Chapter IV, Requests Regarding Road Traffic Noise ; Chapter V, Miscellaneous Provisions; Chapter VI, Penalties. the provisions apply for the prevention, control and limiting of noise pollution in factories, building sites and traffic noise provoked by vehicle circulations.",https://www.ecolex.org/details/legislation/noise-regulation-law-no-98-of-1968-lex-faoc047128/?type=legislation&xsubjects=Mineral+resources&page=3867,Air & atmosphere, Legislation,"Basic legislation,Noise pollution,Enforcement/compliance,Environmental standards,Legal proceedings/administrative proceedings,Monitoring","Asia, ASIA AND THE PACIFIC, Eastern Asia, North Pacific, North-West Pacific",on 1 December 1968.,ECOLEX_Legislation
Bermuda Constitution Order 1968.,1968.0,Bermuda (UK),,https://www.ecolex.org/details/legislation/bermuda-constitution-order-1968-lex-faoc117662/?type=legislation&xsubjects=Mineral+resources&page=3867,Land & soil, Constitution,"Codified constitution,Civil and political rights,Economic/social/cultural rights,Equity,Ownership,Right to property,Human rights,Property rights,Expropriation,Agricultural land,Agricultural development","Americas, Atlantic Ocean Islands, European Union Countries, North America, North Atlantic",,ECOLEX_Legislation
"Forest Fires Prevention Act (R.S.O. 1990, c. F.24).",1968.0,Canada,The 36 sections of the Act are placed under the following headings: Administration (2-9); Fire season (10); Fire permits (11); Restricted zones (12-15); Prevention measures (16-19); Extinguishment of fires (20-33); Penalties (34); Regulations (35-36).,https://www.ecolex.org/details/legislation/forest-fires-prevention-act-rso-1990-c-f24-lex-faoc002879/?type=legislation&xsubjects=Mineral+resources&page=3867,Forestry, Legislation,"Forest fires,Forestry protection measures,Offences/penalties,Forest management/forest conservation","Americas, Arctic, ASIA AND THE PACIFIC, East Pacific, North America, North Atlantic",,ECOLEX_Legislation
"Décret n° 68-213 fixant la procédure des opérations de délimitation d’ensemble prévue par la loi n° 67-029 du 18 décembre 1967 relative à la procédure d’immatriculation collective ou ""cadastre"".",1968.0,Madagascar,"Le présent décret fixe la procédure des opérations de délimitation d’ensemble prévue par la loi n° 67-029 du 18 décembre 1967 relative à la procédure d’immatriculation collective ou ""cadastre"".",https://www.ecolex.org/details/legislation/decret-n-68-213-fixant-la-procedure-des-operations-de-delimitation-densemble-prevue-par-la-loi-n-67-029-du-18-decembre-1967-relative-a-la-procedure-dimmatriculation-collective-ou-cadastre-lex-faoc073749/?type=legislation&xsubjects=Mineral+resources&page=3868,Land & soil, Regulation,"Land tenure,Transfer,Legal proceedings/administrative proceedings,Cadastre/land registration","Africa, AFRICA FAO, Eastern Africa, Indian Ocean, Least Developed Countries",,ECOLEX_Legislation
Arrêté royal organisant le contrôle des matériels de base et des matériels de reproduction des essences forestières.,1968.0,Belgium,"Cet arrêté royal porte la réglementation relative à l'organisation du contrôle des matériels de base et des matériels de reproduction des essences forestières. La partie initiale contient la définition de certains termes comme, par exemple, «matériels de reproduction», à savoir «semences», «parties de plantes», «plants», etc., «matériels de base», «provenance», «origine», etc. Le 1er chapitre intitulé «Essences forestières autres que peupliers» règle le contrôle des semences indigènes, le contrôle à la récolte, le contrôle à la préparation, contrôle de matériel de reproduction importe, contrôle du matériel de reproduction en pépinière, le contrôle sur pied, le contrôle en vue de la vente. Le chapitre II traite le contrôle des peupliers en vue de l'exportation et le contrôle à l'importation. Le texte est formé par 28 articles répartis en 4 chapitres. Deux annexes sont jointes.",https://www.ecolex.org/details/legislation/arrete-royal-organisant-le-controle-des-materiels-de-base-et-des-materiels-de-reproduction-des-essences-forestieres-lex-faoc027112/?type=legislation&xsubjects=Mineral+resources&page=3868,Forestry, Regulation,"International trade,Inspection,Afforestation/reforestation,Forest service/forest officers,Planting material/seeds,Forest management/forest conservation","Benelux, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Western Europe",Le 6 juillet 1968.,ECOLEX_Legislation
Land Titles (Strata) Act (Chapter 158).,1968.0,Singapore,"This Act shall facilitate the subdivision of land into strata and the collective sale of property, and provide for the issuance of subsidiary strata certificates of title. The registration of strata title applications and strata title plans are described in section 9. Part III deals with rights and obligations of subsidiary proprietors. Variation or termination of strata subdivision scheme is provided for in Part V and collective sale of property is defined in Part VA. The issue of subsidiary certificates of title for flats under other schemes and issue of subsidiary strata certificates of title are provided for in Part VIII.",https://www.ecolex.org/details/legislation/land-titles-strata-act-chapter-158-lex-faoc052591/?type=legislation&xsubjects=Mineral+resources&page=3868,Land & soil, Legislation,"Land reform,Land tenure,Subdivision of land,Survey/mapping,Certification","Asia, ASIA AND THE PACIFIC, East Asian Seas, Small Island Developing States, South-Eastern Asia",,ECOLEX_Legislation
Historical Monuments Act 1968 (Cap. 46).,1968.0,Uganda,"This Act makes provision for the declaration and protection of preserved and protected objects (as defined). The Act also provides for acquisition of land any land under Land Acquisition Act of any land which appears to the Minister to be required for the purposes of preserving or affording access to the object. Any lands so acquired shall, for the purposes of section 11(a) of the Mining Act, be land dedicated or set apart for public purposes.",https://www.ecolex.org/details/legislation/historical-monuments-act-1968-cap-46-lex-faoc096148/?type=legislation&xsubjects=Mineral+resources&page=3868,Land & soil, Legislation,"Cultural heritage,Expropriation","Africa, AFRICA FAO, Eastern Africa, Landlocked Developing Countries, Least Developed Countries",,ECOLEX_Legislation
Décret nº 68-449 relatif à l'octroi des permis forestiers et aux ventes de coupes dans le département de la Guyane.,1968.0,French Guiana (France),"Ce décret porte réglementation relative à l'octroi des permis forestiers et de ventes de coupes, qui sont consentis par le directeur général de l'Office national des forêts, ou bien par décision conjointe des ministres d'Etat chargés des départements d'outre-mer, de l'économie et des finances et de l'agriculture, si le permis d'exploitation concerne une surface supérieure aux 50.000 hectares ou a une durée supérieure à 18 ans.",https://www.ecolex.org/details/legislation/decret-no-68-449-relatif-a-loctroi-des-permis-forestiers-et-aux-ventes-de-coupes-dans-le-departement-de-la-guyane-lex-faoc002411/?type=legislation&xsubjects=Mineral+resources&page=3868,Forestry, Regulation,"Timber extraction/logging,Non-timber products,Authorization/permit,Forest management/forest conservation","Americas, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North Atlantic, South America",,ECOLEX_Legislation
"Decreto Nº 719 - Reglamenta las Leyes Nº 135 de 1961 y Nº 1 de 1968, especialmente en lo relativo a la adquisición de tierras de propiedad privada.",1968.0,Colombia,"El artículo 1º del Decreto establece que el Instituto Colombiano de la Reforma Agraria (INCORA) está autorizado para adquirir tierras o mejoras de propiedad privada, lo mismo que las que tengan el carácter de bienes patrimoniales de las entidades de derecho público, a cualquier título mediante negociación directa y de acuerdo con los propietarios; si este acuerdo no se formaliza en la oportunidad debida, el INCORA podrá expropiar tales tierras o mejoras con sujeción a lo que en dicha ley se señala.",https://www.ecolex.org/details/legislation/decreto-no-719-reglamenta-las-leyes-no-135-de-1961-y-no-1-de-1968-especialmente-en-lo-relativo-a-la-adquisicion-de-tierras-de-propiedad-privada-lex-faoc004774/?type=legislation&xsubjects=Mineral+resources&page=3868,Land & soil, Regulation,"Transfer,Expropriation,Land reform","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific, South America, South-Eastern Pacific",,ECOLEX_Legislation
"Decreto Nº 703 - Reglamenta las Leyes Nº 135 de 1961 y Nº 1 de 1968, y el Decreto Legislativo Nº 2.969 de 1966, sobre contratos de arrendamiento, aparcería y similares.",1968.0,Colombia,"El artículo 1º del Decreto define, conforme al artículo 104 bis de la Ley Nº 135, de 13 de diciembre de 1961, como pequeños arrendatarios, aparceros o similares, los que exploten extensiones que no excedan de 15 hectáreas. El artículo 2º establece que los contratos vigentes, escritos o verbales, con las excepciones de que trata el artículo 4º del Decreto, quedan prorrogados por el término de 10 años contados a partir de la sanción de la Ley Nº 1 de 26 de enero de 1968.",https://www.ecolex.org/details/legislation/decreto-no-703-reglamenta-las-leyes-no-135-de-1961-y-no-1-de-1968-y-el-decreto-legislativo-no-2969-de-1966-sobre-contratos-de-arrendamiento-aparceria-y-similares-lex-faoc004773/?type=legislation&xsubjects=Mineral+resources&page=3868,Land & soil, Regulation,"Land reform,Lease,Land tenure,Smallholders/peasants","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific, South America, South-Eastern Pacific",,ECOLEX_Legislation
