Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Strategie et Plan D'Action Nationaux de la Biodiversité (2016-2020),2016.0,"Congo, Dem. Rep. of","Suite aux recommandations formulées dans le cadre de la Convention sur la Diversité biologique, notamment les objectifs d’Aichi, la République Démocratique du Congo a élaboré sa nouvelle stratégie nationale de la biodiversité (SPANB) couvrant la période 2016-2020 et remplace la stratégie nationale pour la biodiversité de 2002. La vision de cette stratégie est la suivante «D’ici à 2035, la biodiversité est gérée de façon durable par son intégration dans tous les secteurs nationaux pertinents, participe à l’essor du pays et tous les Congolais sont conscients de sa valeur et de sa contribution pour leur bienêtre». Pour réaliser cette vision, cette stratégie s’articule autour de dix (10)  axes prioritaires suivants: Intégration de la biodiversité dans tous les secteurs nationaux pertinents; Réduction des pressions exercées sur les habitats naturels; Pêche durable; Amélioration de la gestion des aires protégées existantes et extension de leur réseau; Sauvegarde des espèces de faune et de flore menacées d’extinction ; Promotion des payements des services environnementaux et accès aux ressources génétiques et partage des avantages ; Restauration ; Biosécurité ; Promotion de la recherche taxonomique et acquisition des connaissances ; et Accroissement des financements affectés à la biodiversité. Ces axes stratégiques déclinés en objectifs nationaux permettent de répondre aux nouvelles perspectives d’Aichi.",https://www.ecolex.org/details/legislation/strategie-et-plan-daction-nationaux-de-la-biodiversite-2016-2020-lex-faoc169379/?type=legislation&xsubjects=Mineral+resources&page=695,"Fisheries, Forestry, Land & soil, Cultivated plants, Wild species & ecosystems", ,"Fishery management and conservation,Access and benefit-sharing,Indigenous peoples,Traditional knowledge/indigenous knowledge,Timber extraction/logging,Tax/levy,Ecosystem preservation,Forest management/forest conservation,Cultural heritage,Soil conservation/soil improvement,Soil rehabilitation,Plant protection,Biodiversity,Integrated management,Agricultural development,Climate change,Ecofriendly products/ecofriendly processes,Genetic resources,Forest fires","Africa, AFRICA FAO, Central Africa, Least Developed Countries, South Atlantic",,ECOLEX_Legislation
Belize Integrated Coastal Zone Management Plan 2016.,2016.0,Belize,"This Plan lays out strategies to facilitate the improved management of coastal and marine resources. The aim is to attain a sustainable future where healthy ecosystems support, and are supported by, thriving local communities and a vibrant economy. The strategic steps are discussed under four thematic areas: (1) Encouraging Sustainable Coastal Resources Use; (2) Supporting Integrated Development Planning; (3) Building Alliances to Benefit Belizeans; and (4) Adapting to Climate Change. For each thematic area, detailed topical issues and activities are addressed and corresponding guiding principles are presented.",https://www.ecolex.org/details/legislation/belize-integrated-coastal-zone-management-plan-2016-lex-faoc168574/?type=legislation&xsubjects=Mineral+resources&page=695,"Environment gen., Fisheries, Sea", ,"Biodiversity,Climate change,Coastal zone management,Disasters,Environmental security,Flood,Marine area,Marine pollution,Pollution control,Sustainable development,Cultural heritage,Fishery management and conservation,Food security,Sustainable use","Americas, Central America, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, Small Island Developing States",,ECOLEX_Legislation
Plan d’action national sur les modes de production et de consommation durables en Tunisie 2016 (Plan d’action décennal agroalimentaire 2016-2025).,2016.0,Tunisia,"Le Plan d’action national sur les modes de production et de consommation durables en Tunisie 2016, dans le cadre de l’agroalimentaire a pour vision: «assurer une chaine alimentaire durable qui améliore les performances économiques, sociales et environnementales le long du cycle de vie du produit». Pour réaliser cette vision, le Plan s’articule autour de quatre (4) principaux axes stratégiques. Par ailleurs, le plan d’action décennal présente  le plan d’action décliné en axes stratégiques, objectifs Opérationnels et en actions) pour le développement des MPCD dans l’agroalimentaire.",https://www.ecolex.org/details/legislation/plan-daction-national-sur-les-modes-de-production-et-de-consommation-durables-en-tunisie-2016-plan-daction-decennal-agroalimentaire-2016-2025-lex-faoc169254/?type=legislation&xsubjects=Mineral+resources&page=695,"Agricultural & rural development, Food & nutrition, Cultivated plants, Water, Waste & hazardous substances", ,"Agricultural development,Sustainable development,Irrigation,Cooperative/producer organization,Smallholders/peasants,Food quality control/food safety,Food security,Processing/handling,Transport/storage,Consumer protection,Early warning system/emergency intervention system,Packaging/labelling,Food waste,Pesticides,Waste domestic sources,Waste prevention,Waste management,Recycling/reuse,Effluent waste water/discharge,Freshwater quality/freshwater pollution,Pollution control","Africa, Mediterranean, NEAR EAST AND NORTH AFRICA, Northern Africa",,ECOLEX_Legislation
Argentina 2016: Política y Estrategia Nacional de Desarrollo y Ordenamiento Territorial.,2016.0,Argentina,"El presente documento contiene la Política de Estado de desarrollo territorial de la Argentina (PNDT) para el mediano y largo plazo, con el objeto de reordenar el territorio nacional. Concretamente busca guiar las acciones con impacto espacial hacia un crecimiento equilibrado, integrado, sustentable y  socialmente justo del territorio argentino y construir mecanismos de intervención más adecuados para aprovechar las oportunidades de desarrollo. El documento consta de tres capítulos y una conclusión. En el capítulo 2 se presentan los grandes objetivos de la Política Nacional de Desarrollo y Ordenamiento Territorial, mientras que en el capítulo 3 se presenta la estrategia para implementar dicha política. Uno de los objetivos primordiales es alcanzar el acceso de la población a los bienes y servicios esenciales, posibilitando el desarrollo personal y colectivo y una elevada calidad de vida en todos los rincones del país. Para ello, las políticas y los proyectos del Estado deberán: a) ordenar el funcionamiento de los asentamientos humanos, a través del desarrollo y la refuncionalización de áreas y ciudades; b) mantener un acceso equitativo a las infraestructuras, la vivienda, los servicios y el equipamiento social, sanitario y educativo de manera que se promueva la igualdad de oportunidades de desarrollo para todos los ciudadanos.",https://www.ecolex.org/details/legislation/argentina-2016-politica-y-estrategia-nacional-de-desarrollo-y-ordenamiento-territorial-lex-faoc169367/?type=legislation&xsubjects=Mineral+resources&page=695,"Agricultural & rural development, Wild species & ecosystems", ,"Poverty,Public participation,Governance,Sustainable development,Disasters,Local government,Biodiversity,Education","Americas, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South Atlantic",,ECOLEX_Legislation
National Climate-Smart Agriculture and Food Security Action Plan of Ghana (2016-2020).,2016.0,Ghana,"The present Action Plan on National Climate-Smart Agriculture and Food Security (2016-2020) provides the implementation framework for an effective development of climate-smart agriculture. The Plan formulates specific strategies that will contribute developing climate-resilient agriculture and food systems for all agro-ecological zones, as well as the human resource capacity required for a climate-resilient agriculture promotion in Ghana. The Action Plan is therefore an effort to translate to the ground level, the broad national goals and objectives in climate-smart agriculture. Its development has been made possible through the active engagement of various public and private institutions and organizations in Ghana. The methodology comprised desk research, data collection through interviews and participatory workshops and small group meetings. A review of relevant agricultural policy documents such as the Food and Agriculture Sector Development Policy (FASDEP), the METASIP and the Agriculture Sustainable Land Management Strategy and Action Plan was done to analyse the current national agricultural policy environment.",https://www.ecolex.org/details/legislation/national-climate-smart-agriculture-and-food-security-action-plan-of-ghana-2016-2020-lex-faoc169288/?type=legislation&xsubjects=Mineral+resources&page=695,"Agricultural & rural development, Livestock, Environment gen., Food & nutrition, Fisheries, Forestry, Water, Wild species & ecosystems", ,"Agricultural development,Disasters,Sustainable use,Crops/grasses,Governance,Research,Data collection/reporting,Financial agricultural measures,Equity,Gender,Integrated management,Erosion,Biodiversity,Sustainable development,Aquaculture,Alien species,Monitoring,Poverty,Food quality control/food safety,Financing,Animal production,Irrigation,Endangered species,Protection of species","Africa, North Atlantic, Western Africa",,ECOLEX_Legislation
8th Five-Year National Socio-Economic Development Plan (2016–2020).,2016.0,"Lao, People's Dem. Rep.","The Government of Lao People’s Democratic Republic (PDR) 8th Five-Year Plan (2016-2020) is a continuation of the 7th Five-Year Plan (cfr. Part I). The Plan is regarded as a measure for achieving socio-economic development, industrialisation and modernisation towards the year 2020. This National Socio-Economic Development Plan is the Lao PDR's guiding strategic document. It paves the way towards the graduation from Least Developed Countries (LDC) status and lays a strong foundation for the achievement of the National Strategy on Socio-Economic Development 2025 and the Vision 2030 as well as the Sustainable Development Goals.",https://www.ecolex.org/details/legislation/8th-five-year-national-socio-economic-development-plan-20162020-lex-faoc169287/?type=legislation&xsubjects=Mineral+resources&page=695,"Agricultural & rural development, Livestock, Environment gen., Food & nutrition, Fisheries, Forestry, Wild species & ecosystems", ,"Sustainable use,Agricultural development,Farming,Agricultural commodities,Monitoring,Equity,Gender,Access-to-justice,Governance,Integrated management,Disasters,Climate change,Pollution control,Capacity building,Education,Financing,Wetlands,Food security,Public health,Poverty,Human rights,Cattle,Animal production","Asia, ASIA AND THE PACIFIC, Landlocked Developing Countries, Least Developed Countries, South-Eastern Asia",2016-2020,ECOLEX_Legislation
"Ghana Livestock Development Policy and Strategy,",2016.0,Ghana,"The present Ghana Livestock Development Policy and Strategy (GLDPS) addresses the issues affecting the development of the Ghana livestock sub-sector such as the excessive importation of livestock and livestock products especially poultry, increased incidence of emerging and re-emerging animal diseases, inadequate supply of vaccines and veterinary pharmaceuticals, inadequate livestock infrastructure, transhumance, financing , research and technology dissemination in the livestock industry.",https://www.ecolex.org/details/legislation/ghana-livestock-development-policy-and-strategy-lex-faoc169291/?type=legislation&xsubjects=Mineral+resources&page=695,"Livestock, Environment gen., Food & nutrition", ,"Pollution control,Gender,Poverty,Constitutional law,Equity,Financing,Education,Meat,Milk/dairy products,Animal reproduction,Animal production,Cattle,Sheep/goats,Swine,Pests/diseases,Vaccination,Research,Animal feed/feedstuffs,Genetic resources,Internal trade,International trade,Animal health","Africa, North Atlantic, Western Africa",,ECOLEX_Legislation
Tonga Agriculture Sector Plan 2016-2020.,2016.0,Tonga,"The need for the Tonga Agriculture Sector Plan (TASP) was identified as part of Tonga’s national planning process. This Plan is expected to identify the Kingdom’s vision and priorities for maximizing contributions from the agriculture sector both to its economic growth and to sustained food security in the face of a changing world economy, looming climate change, and natural disasters in the Pacific. The Plan is also expected to: (i) articulate specific programmes and activities which are required to achieve sector priorities; (ii) clarify the roles and responsibilities of the different sector stakeholders; (iii) estimate investment needs; and (iv) provide a framework for measuring progress over the short- and medium-terms.",https://www.ecolex.org/details/legislation/tonga-agriculture-sector-plan-2016-2020-lex-faoc168836/?type=legislation&xsubjects=Mineral+resources&page=695,"Agricultural & rural development, Environment gen., Food & nutrition, Fisheries, Water", ,"Agricultural development,Poverty,Smallholders/peasants,Capacity building,Extension,Disasters,Rural employment,Research,Cooperative/producer organization,Climate change,Biodiversity,Irrigation,Agricultural land,Soil conservation/soil improvement,Soil rehabilitation,Waste management,Marine area,Coastal zone management,Risk assessment/management,Sustainable use,Food security,Nutrition,Food sovereignty,Potable water,Water supply,Freshwater resources management","ASIA AND THE PACIFIC, Oceania, Polynesia, Small Island Developing States, South Pacific",2016-2020,ECOLEX_Legislation
National Strategy of the Republic of Azerbaijan on the conservation and sustainable use of biodiversity for 2017-2020.,2016.0,Azerbaijan,"The National Strategy of the Republic of Azerbaijan on the conservation and sustainable use of biodiversity for 2017-2020 has been approved by the Presidential Decree No. 2358, dated 3 October 2016. The National Strategy on the conservation and sustainable use of biodiversity is a national strategy with a cross-sectoral approach. The timeframe of the National Strategy is 4 years between 2017 and 2020. The main objectives of the National Strategy are sustainable use of genetic resources, conservation and sustainable use of biodiversity for the benefit of future generations, poverty eradication, environmental balance, transition to green economy, environmental education, survival of endemic and native species, development of protected areas and reduction of threats to biodiversity.",https://www.ecolex.org/details/legislation/national-strategy-of-the-republic-of-azerbaijan-on-the-conservation-and-sustainable-use-of-biodiversity-for-2017-2020-lex-faoc169417/?type=legislation&xsubjects=Mineral+resources&page=695,"Energy, Environment gen., Forestry, Wild species & ecosystems", ,"Renewable energy,Agricultural development,Biodiversity,Biosafety,Capacity building,Climate change,Cultural heritage,Data collection/reporting,Early warning system/emergency intervention system,Ecological production/organic production,Education,EIA,Farming,Fertilizers/nutrients,Gender,Integrated management,International organization,International relations/cooperation,Marine area,Monitoring,Non-governmental entity,Policy/planning,Pollution control,Precautionary principle,Protected area,Public participation,Risk assessment/management,Sustainable development,Tourism,Transboundary effects,Waste management,Waste prevention,Wetlands,Forest management/forest conservation,Inventory,National parks,Pastoralism,Protection of environment,Protection of species,Sustainable use,Agro-forestry,Ecosystem preservation,Endangered species,Genetic resources,Protection of habitats,Wild fauna,Wild flora","Asia, Caspian Sea, CIS (Commonwealth of Independent States), EUROPE AND CENTRAL ASIA, Landlocked Developing Countries, Western Asia",,ECOLEX_Legislation
Tonga Climate Change Policy - A Resilient Tonga by 2035.,2016.0,Tonga,"The purpose of this cross-sectoral Tonga Climate Change Policy is to provide a clear vision, goal, and objectives to direct responses to climate change and disaster risk reduction over the next five years. The goal of the policy is to achieve the vision of a Resilient Tonga by 2035. This will be realized through achievement of specific targets.",https://www.ecolex.org/details/legislation/tonga-climate-change-policy-a-resilient-tonga-by-2035-lex-faoc168233/?type=legislation&xsubjects=Mineral+resources&page=695,Environment gen., ,"Climate change,Disasters,Sustainable development,Gender","ASIA AND THE PACIFIC, Oceania, Polynesia, Small Island Developing States, South Pacific",,ECOLEX_Legislation
