Country,ID of policy or measure,Name of policy or measure,Description,Geographical_coverage,"Single policy or measure, or group of measures",Report_ID,Policies or measures included in the group,Type of policy instrument,Status of implementation,"Policy impacting EU ETS, ESD or LULUCF emissions",Sector(s) affected,Objective(s),Quantified objective,GHG(s) affected,Total GHG emissions reductions in 2025 (kt CO2eq/y),Total GHG emissions reductions in 2030 (kt CO2eq/y),Total GHG emissions reductions in 2035 (kt CO2eq/y),Total GHG emissions reductions in 2040 (kt CO2eq/y),Entities responsible for implementing the policy (type),Entities responsible for implementing the policy,Implementation period start,Implementation period finish,Is the policy or measure related to a Union policy?,Related Union Policy,Does_the_PaM_relate_to_Air_Pollution_policy?,Projection scenario in which the policy or measure is included,Indicator used to monitor and evaluate progress over time,Contribution to the LTS,General comment,Main reference,URL to main reference,GHG emissions reductions EU ETS in 2025 (kt CO2eq/y),GHG emissions reductions ESR in 2025 (kt CO2eq/y),GHG emissions reductions LULUCF in 2025 (kt CO2eq/y),GHG emissions reductions EU ETS in 2030 (kt CO2eq/y),GHG emissions reductions ESD in 2030 (kt CO2eq/y),GHG emissions reductions LULUCF in 2030 (kt CO2eq/y),GHG emissions reductions EU ETS in 2035 (kt CO2eq/y),GHG emissions reductions ESD in 2035 (kt CO2eq/y),GHG emissions reductions LULUCF in 2035 (kt CO2eq/y),GHG emissions reductions EU ETS in 2040 (kt CO2eq/y),GHG emissions reductions ESD in 2040 (kt CO2eq/y),GHG emissions reductions LULUCF in 2040 (kt CO2eq/y),Explanation of the basis for the mitigation estimates,Factors affected by the PaM,Reference for ex-ante assessment,Web link for ex-ante assessment,Year for which reduction applies (ex post),Average ex post emission reduction (kt CO2eq/y),Reference for ex-post assessment,Web link for ex-post assessment,Projected gross costs (EUR per tonne CO2eq reduced/ sequestered),Projected absolute costs per year (EUR),Year projected cost has been calculated for,Price reference year (projected costs),Projected benefits (EUR per tonne CO2eq reduced/ sequestered),Projected absolute benefit per year (EUR),Projected net costs (EUR per tonne CO2eq reduced/ sequestered),Projected net cost per year (EUR),Description of projected cost estimates,Description of non-GHG mitigation projected benefits,Reference for projected costs and benefits,Web link for projected costs and benefits,Realised gross costs (EUR per tonne CO2eq reduced/ sequestered),Realised absolute costs per year (EUR),Year realised cost has been calculated for,Price reference year (realised costs),Realised benefits (EUR per tonne CO2eq reduced/ sequestered),Realised absolute benefit per year (EUR),Realised net costs (EUR per tonne CO2eq reduced/ sequestered),Realised net cost per year (EUR),Description of realised cost estimates,Description of non-GHG mitigation realized benefits,Reference for realised costs and benefits,Web link for realised costs and benefits
Austria,1,EU Emission Trading Scheme (ETS),"The objective is to limit the CO2 emission from the energy industries, manufacturing industries and from industrial processes, as well as N2O emissions from the chemical industry and CO2 emissions from aircraft operators through the EU-wide trading mechanism for emission allowances.",National,Single,526,Single PaM,Economic; Regulatory,Implemented,EU ETS,Energy Consumption; Energy Supply; Industrial Processes,"Energy Consumption: Efficiency improvement in industrial end-use sectors,Energy Supply: Efficiency improvement in the energy and transformation sector,Energy Supply: Switch to less carbon-intensive fuels,Industrial Processes: Installation of abatement technologies",NA,CO2; N2O,,,,,National government,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology,2005,2030,Yes,"EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC, Directive 2009/29/EC and Directive 2018/410 and implementing legislation, in particular 2010/2/EU, 2011/278/EU, 2011/638/EU, 176/2014/EU, and Decision (EU) 2015/1814Â  ",No information,With existing measures,,The implementation of the PaM is a basis for further measures to achieve the LTS target of net zero GHG emissions in 2050.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2,Domestic Environmental Support Scheme,"The Domestic Environmental Support Scheme provides financial support to projects which improve environmental performance beyond mandatory standards in the energy, manufacturing as well as service industry. The Ministry of Sustainability and Tourism puts the focus of its funding policy on climate change. Most projects are targeted at mobility (53%), efficient energy use (35%) and renewable energy (21%).",National,Single,526,Single PaM,Economic,Implemented,ESD/ESR; EU ETS,Energy Consumption; Energy Supply; Transport,"Energy Consumption: Efficiency improvement in industrial end-use sectors,Energy Supply: Efficiency improvement in the energy and transformation sector,Energy Supply: Increase in renewable energy in the heating and cooling sector,Energy Supply: Increase in renewable energy sources in the electricity sector,Transport: Efficiency improvements of vehicles",,CO2; CH4; N2O,300,300,300,,National government,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology,1993,,No,No information,No information,With existing measures,,The implementation of the PaM is a basis for further measures to achieve the LTS target of net zero GHG emissions in 2050.,,,,,,,,,,,,,,,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,3,Austrian Climate and Energy Fund,"In 2007, the Federal Government established a specific fund (Climate and Energy Fund – KLI.EN) in order to support the reduction of GHGs in Austria in the short, medium and long term (Federal Law Gazette I No. 40/2007). It focuses on research in and development of renewable energy systems, development and testing of new transport and mobility systems and market penetration of sustainable energy technologies -  ranging from basic and applied research to subsidies for the implementation of climate friendly technology (KLIEN 2017). Support is provided to companies, research institutions or municipalities as well as to individuals, depending on the respective programme.",National,Single,526,Single PaM,Economic; Research,Implemented,ESD/ESR; EU ETS,Energy Consumption; Energy Supply; Transport,"Energy Consumption: Demand management/reduction,Energy Supply: Switch to less carbon-intensive fuels,Transport: Improved transport infrastructure",,CO2,,,,,National government,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology,2007,,No,No information,No information,With existing measures,,The implementation of the PaM is a basis for further measures to achieve the LTS target of net zero GHG emissions in 2050.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,4,Increase the share of renewable energy in power supply and district heating,"Beyond the traditional use of large-scale hydro power for electricity generation, quantitative targets have been set for the increase of the share of wind power, photovoltaics, small hydro plants and biomass/biogas in electricity generation in the Green Electricity Act and shall be achieved by fixed feed-in tariffs. A new law to extend the scope beyond 2020 is under discussion.",National,Single,526,Single PaM,Economic; Regulatory,Implemented,EU ETS,Energy Supply,Energy Supply: Increase in renewable energy sources in the electricity sector,"2010-2020:  Hydropower   +1,000 MW;  Wind power +2,000 MW;  Photovoltaics  +1,200 MW;  Biomass and biogas  + 200 MW.",CO2,,,,,National government,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology,2002,,Yes,"Directive 2006/32/EC on end-use energy efficiency and energy services;Directive 2018/2001 on the promotion of the use of energy from renewable sources, recast of the directive 2009/28/EC;Completion of the internal energy market ",No information,With existing measures,Installed capacity of renewable power plants MW,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the energy sector.,,e-control: Annual report on the development of green electricity (Ökostromberichte),https://www.e-control.at/de/publikationen/oeko-energie-und-energie-effizienz/berichte/oekostrombericht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,5,Increase energy efficiency in energy and manufacturing industries,"Based on EU legislation, Austria has implemented the Energy efficiency Directive (2012/27/EU) and prepared its latest National Energy Efficiency Action Plan in 2017 with quantitative targets for final and primary energy consumption in 2020. In addition, financial support for cogeneration of power and heat is granted in order to improve the efficient use of primary energy for electricity production.",National,Single,526,Single PaM,Economic; Planning; Regulatory,Implemented,ESD/ESR; EU ETS,Energy Consumption; Energy Supply,"Energy Consumption: Efficiency improvement in industrial end-use sectors,Energy Consumption: Efficiency improvement in services/tertiary sector,Energy Consumption: Efficiency improvement of appliances,Energy Consumption: Efficiency improvements of buildings,Energy Supply: Efficiency improvement in the energy and transformation sector",Energy efficiency target of 1050 PJ (final energy consumption) in 2020,CO2,,,,,National government; Regional entities,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology; Regional entities: Federal provinces,2008,,Yes,Cogeneration Directive 2004/8/EC;Completion of the internal energy market;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002 ,No information,With existing measures,Final energy consumption PJ,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the energy sector.,,Statistics Austria: Energy balances for Austria (Energiebilanzen),https://www.statistik.at/web_de/statistiken/energie_umwelt_innovation_mobilitaet/energie_und_umwelt/energie/energiebilanzen/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,6,Further enhancement of renewable energy in power supply and district heating,"Quantitative targets will be set for further increasing the share of wind power, photovoltaics, small and medium hydro power plants and biomass/biogas in electricity generation in a Renewables Expansion Act and shall be achieved by a combination of market premiums and investment support. For certain technologies support will be allocated by a tendering process. This new law is under discussion and will probably be passed in early 2021.
Investment support for biomass-based district heating systems will continue to be granted via the Domestic Environmental Support Scheme.",National,Single,526,Single PaM,Economic; Regulatory,Planned,EU ETS,Energy Supply,Energy Supply: Increase in renewable energy sources in the electricity sector,2020-2030:  Wind power +12 TWh;  Photovoltaics +10 TWh;  Hydropower   +4.5 TWh;  Biomass and biogas  +0.5 TWh.,CO2,4336,8525,,,National government,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology,2021,2030,Yes,"Directive 2018/2001 on the promotion of the use of energy from renewable sources, recast of the directive 2009/28/EC ",No information,With additional measures,Installed capacity of renewable power plants MW,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the energy sector.,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,4336,,,8525,,,,,,,,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,7,Further enhancement of energy efficiency in energy industries,"Austria will update its Energy Efficiency Act and prepare updated National Energy Efficiency Action Plans with quantitative targets for final and primary energy consumption in 2030. 
Furthermore, support by the domestic environmental support scheme in the sector non-ETS industry will be increased.",National,Single,526,Single PaM,Economic; Regulatory,Planned,ESD/ESR; EU ETS,Energy Consumption,Energy Consumption: Efficiency improvement in industrial end-use sectors,2020-2030: will result in a yearly increase of energy efficiency in industry by 0.6 %,CO2,,,,,National government,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology,2021,2030,Yes,Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002 ,No information,With additional measures,Final energy consumption PJ,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the energy sector.,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,159,758,,308,1418,,,,,,,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,8,Further enhancement of renewables in gas supply,"Austria will increase the share of biomethan and hydrogen in the gas grid. This will be achieved by a combination of measures, among which are obligations for suppliers and a hydrogen strategy. Approx. three quarters of the gas will be used in the sector industry.",National,Single,526,Single PaM,Regulatory,Planned,ESD/ESR; EU ETS,Energy Supply,Energy Supply: Switch to less carbon-intensive fuels,"2020-2030: 3,5 TWh biomethan; 1 TWh hydrogen",CO2,126,568,,,National government,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology,2021,2030,Yes,"Directive 2018/2001 on the promotion of the use of energy from renewable sources, recast of the directive 2009/28/EC ",No information,With additional measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the energy sector.,,,,,,,,,,,,,,,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,9,Increase the share of clean energy sources in road transport,The EU Directive on the promotion of renewable energy sources requires Member States to replace at least 10% of the fuels used in transport by renewables (biofuels and electricity from renewable energy sources) by 2020 and 14% by 2030. The Austrian Fuel Ordinance stipulates minimum targets for the share of biofuels (fatty-acid methyl ester and ethanol) in diesel and gasoline sold in Austria. The e-mobility offensive laid down in the national climate and energy strategy (#mission 2030) promotes electric mobility in different ways to increase the share of electric vehicles in the Austrian passenger car and truck fleet.,National,Single,526,Single PaM,Economic; Regulatory,Implemented,ESD/ESR,Transport,"Transport: Electric road transport,Transport: Low carbon fuels","10% share of renewable energy in transport by 2020, and 14% by 2030",CO2,,,,,National government,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology; National government: Ministry of Finance,2004,,Yes,"Directive 2018/2001 on the promotion of the use of energy from renewable sources, recast of the directive 2009/28/EC;Fuel Quality Directive 2009/30/ECÂ ;Biofuels directive 2003/30/ECÂ  ",No information,With existing measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the transport sector.,,,,,,,,4490,,,5751,,,,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,10,Increase fuel efficiency in road transport,"Mineral oil taxes and tolls for trucks have been implemented to improve the fuel efficiency of the fleet. The mineral oil tax and the fuel consumption based car registration tax are expected to promote the sales of cars with lower fuel consumption. Other instruments like speed limits, established in response to other environmental concerns, contribute to reduced fuel consumption.",National,Single,526,Single PaM,Economic; Fiscal; Information; Regulatory,Implemented,ESD/ESR,Transport,"Transport: Efficiency improvements of vehicles,Transport: Improved behavior",,CO2,,,,,National government; Regional entities,National government: Ministry for Climate Action;  Environment;  Energy;  Mobility;  Innovation and Technology; Regional entities: Federal provinces; National government: Ministry of Finance,2004,,Yes,Energy Taxation Directive 2003/96/EC;Regulation Euro VI for heavy duty vehicles 595/2009Â ;Regulation 715/2007 on type approval of motor vehicles with respect to emissions from light passenger and commercial vehicles (Euro 5 and Euro 6)Â  ,No information,With existing measures,,The implementation of the PaM is a basis for further measures to achieve the LTS targets of net zero GHG emissions in 2050 and decarbonisation of the transport sector.,,,,,,,,2020,,,1090,,,,,,,"Umweltbundesamt (2021): GHG Projections and assessment of policies and measures in Austria, Reporting under Regulation (EU) 2018/1999, Draft, Vienna 15 March 2021",https://www.umweltbundesamt.at/emiberichte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
