Title,Type,Geography,Geography ISO,Frameworks,Responses,Instruments,Document Types,Natural Hazards,Keywords,Sectors,Events,Documents,Parent Legislation,Description
Energy Sector Strategy 1387-1391 (2007/8-2012/3),executive,Afghanistan,AFG,"",Mitigation,Developing plans and strategies|Governance and planning;Capacity-building - general|Capacity-building,Strategy,"",Energy Supply,Energy,25/12/2008|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcG9IIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--be6991246abda10bef5edc0a4d196b73ce1b1a26/f|,,"This strategy sets the vision and goals for the energy sector between 2008 and 2013. It aims at increasing the efficiency of operations in parallel to capital investments, to provide affordable supply including in rural areas, and enocourage public-private partnerships. New supply including wind should also be pursued through large projects. Renewable energy is set as one of the preferred option in rural areas."
Rural Renewable Energy Policy (RREP),executive,Afghanistan,AFG,"",Adaptation,Standards and obligations|Regulation;International cooperation|Governance and planning; Subsidies|Incentives,Policy,"","Adaptation, Energy Supply",Energy,25/12/2013|Law passed||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbGNNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--507033a8de75d3830fc5f9549a4f647549aaef29/2013%20Afghanistan%20Rural%20Renewable%20Energy%20Policy.pdf|,,"<div>This policy aims at creating better social, economic and environmental conditions for people living in rural areas. This includes energy services, electric lighting, and energy efficiency. Renewable energy is notably promoted. The document further sets out legal and regulatory framework objectives and standards.</div>"
National Forestry Management Policy (NFMP),executive,Afghanistan,AFG,"","Adaptation, Mitigation",Research and development|Capacity-building,Policy,"",Research And Development,Economy-wide,25/12/2007|Law passed||,,,"<div>This law was identified in Afghanistan's NDC, however no further detail or documentation is available.</div>"
Strategic National Action Plan for Disaster Risk Reduction (SNAP),executive,Afghanistan,AFG,Drm/Drr,"Adaptation, Disaster Risk Management",Knowledge generation|Capacity-building;Designing processes|Governance and planning;Developing plans and strategies|Governance and planning;Monitoring and evaluation|Governance and planning,Plan,"Earthquake, Flood, Glacial Melt, Drought, Wildfire, Earthquakes, Floods, Droughts, Mudslides, Wildfires, Changes In Air Quality, Changes In Soil Quality, Changes In Surface Water, Change In Air Quality, Change In Surface Water, Glacial Melting, Snow Melt, Change In Soil Quality",Adaptation,"",25/12/2011|Law passed||,,,"<div>This Action Plan includes the objective of utilising the convergence of disaster risk reduction and climate change adaptation. Community resilience shall be strenghtenedto learn and adapt to risks and get multi-sectoral, governmental and other types of support.</div>"
The National Environmental Action Plan (NEAP),executive,Afghanistan,AFG,"",Adaptation,"",Plan,"",Adaptation,"",25/12/2009|Law passed||,,,"<div>This law was identified in Afghanistan's NDC, however no further detail or documentation is available.</div>"
National Biodiversity Strategy and Action Plan,executive,Afghanistan,AFG,"",Adaptation,Developing plans and strategies|Governance and planning;International cooperation|Governance and planning; Capacity-building - general|Capacity-building; Designing processes|Governance and planning,Strategy,"","Adaptation, Carbon Pricing","Environment, LULUCF",25/12/2014|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUVIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c6ec22c325b8271845c525ef931e38607a7c7beb/f|,,This document notably examines the threats on biodiversity of climate change and desertification. The document establishes a number of sectoral targets and subtargets to organise the resilience of the components of biodiversity to adapt to climate change maintained and enhanced; pollution and its impacts on biodiversity reduced.
National Comprehensive Agriculture Development Priority Program 2016 - 2020,executive,Afghanistan,AFG,"",Adaptation,Standards and obligations|Regulation;Developing plans and strategies|Governance and planning; International cooperation|Governance and planning,Programme,"",Adaptation,"Agriculture, Energy, Environment, Residential and Commercial, Water",01/08/2016|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaDhIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--7695f98c57092849b6c09eb8877da57662ff3ce4/f|,,"This Program sets a strategic framework for the development and reform of the agriculture sector in Afghanistan over the period 2016-2020. It defines seven strategic priorities: 1) improving irrigation systems, 2) increased wheat production, 3) horticulture value-chain, 4) livestock development, 5) climate-sensitive natural resource management, 6) food and nutrition security, and resilience building, and 7) institutional reform. Overall, the fifth goal aims at ensuring that the Program only supports sustainable projects that depend on natural resources, create a green environment, conserve soil, water, and protect the biodiversity. Forestries are one of the pillars of this goal."
"Law on Disaster Response, Management, and Preparedness",legislative,Afghanistan,AFG,"","Adaptation, Disaster Risk Management",Creating bodies and institutions|Governance and planning;Capacity-building - general|Capacity-building,Law,"",Adaptation,"LULUCF, Water",25/12/2012|Law passed||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczhHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4e27f8fbe94a3cff706ea55e80d68f0beb270161/f|en;Dari version (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFlNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--60aeeb8a653d951c1ad086e9ed8e0533daf24154/%D9%82%D8%A7%D9%86%D9%88%D9%86%20%D8%A2%D9%85%D8%A7%D8%AF%DA%AF%DB%8C%20%D9%85%D8%A8%D8%A7%D8%B1%D8%B2%D9%87%20%D8%A8%D8%A7%20%D8%AD%D9%88%D8%A7%D8%AF%D8%AB_Law%20on%20Disaster%20Response%20Management%20and%20Preparedness_Dari%20Version.pd.pdf|,,"<div>This law was enacted to oversee the management, prevention and mitigation of causes of all sorts of disasters, as well as post disaster management in the country. The natural disasters in scope include droughts, landslide, forest fires ""and others"". The National Disaster Management Commision is charged by art. 6 to do the management of all disaster related affairs.</div>"
National Renewable Energy Policy,executive,Afghanistan,AFG,"",Mitigation,Taxes|Incentives;Subsidies|Incentives,Policy,"","Carbon Pricing, Energy Supply, Energy Demand","Energy, Transportation",25/12/2015|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdEFGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9b7c987f9184b950fcd2721b063fe058eb259ac5/f|,,"This document sets the government's renewable energy policy. It promotes the production and use of energy from renewable sources. It sets development targets for the years 2015-2020 and 2021-2032.

The government intends to foster renewable energies through 1) private investment, 2) on-grid and off-grid projects, 3) favorable/mandatory purchasing rules for utilities, 4) net-metering for producer-consumers, 4) delicense and deregulate small-scale hydro and solar projects under 100 kW capacity, 5) and promote technical solutions to obtain carbon credits."
Disaster management strategy (2014-2017),executive,Afghanistan,AFG,"",Disaster Risk Management,Knowledge sharing and dissemination|Capacity-building;Research and development|Capacity-building;Developing plans and strategies|Governance and planning;Multi-level governance|Governance and planning;Capacity-building - general|Capacity-building,"Plan, Strategy","Earthquake, Drought, Floods, Landslides",Disaster Risk Management,Disaster Risk Management (Drm),01/01/2014|Approved||,Full text (PDF)|http://extwprlegs1.fao.org/docs/pdf/afg168612.pdf|en,,"<div>The strategy is developed by the Ministry of Rural Rehabilitation and Development (MRRD) for the next four years (2014–2018). It focusses on institutional mainstreaming, capacity development, knowledge management and key activies for disaster management.&nbsp;<br><br>The strategy aims to expand co-ordination and collaboration within Ministry of Rural Rehabilitation and Development (MRRD) programmes to improve cohesiveness, and reducing or removing duplication of efforts amongst internal and external stakeholders.&nbsp;<br><br>The main objectives are: 1) to institutionalise and integrate risk reduction systems in MRRD’s development Programmes; 2) Addressing the social and economic marginalisation of those more vulnerable to disasters; 3) to address disaster recovery need of the community and ensure emergency response and immediate relief with MRRD programmes.&nbsp;</div>"
